1,平板阀开、关到底后，应回旋（ ）。其开、关应一次完成，不允许半开半闭和作节流阀用。  ,<p>A、1/3圈～1圈</p><p>B、1/4圈～1圈</p><p>C、1/4圈～1/2圈</p><p>D、-</p>,3,C,,26,1
1,防止地层流体进入井内的主要措施是什么?（）,<p>A、钻井液的静液压力</p><p>B、井的垂直深度</p><p>C、环型防喷器</p><p>D、防喷器组</p>,4,A,,26,1
1,在正常钻井过程中，“一级井控”的正确含义是什么?（）,<p>A、通过维持一定的钻井液静液压力和环空中的动压力损失等于或大于地层压力来阻止地层流体进入井内</p><p>B、通过维持环空中的动压力损失等于或大于地层压力来阻止地层流体进入井内</p><p>C、通过维持一定的钻井液静液压力等于或大于地层压力来阻止地层流体进入井内</p><p>D、当钻井液静液压力不能平衡或大于地层压力时，通过使用防喷器阻止地层流体进入井内</p>,4,C,,26,1
1,哪一种压井方法是泵入压井液与循环溢流同步？（）,<p>A、司钻法</p><p>B、等待加重法</p><p>C、-</p><p>D、-</p>,3,B,,26,1
1,当检测到发生井涌时，为什么要迅速关井?（）,<p>A、使溢流的侵入速度减到最小</p><p>B、使关井立压减到最小</p><p>C、使侵入井内的溢流量减到最小</p><p>D、-</p>,3,C,,26,1
1,（）井喷失控后，重新恢复对井口控制的井控技术。,<p>A、三级井控</p><p>B、二级井控</p><p>C、一级井控</p><p>D、-</p>,3,A,,26,1
1,根据井控要求，测井时油气上窜速度一般不得大于（）。,<p>A、10m/h</p><p>B、15m/h</p><p>C、20m/h</p><p>D、-</p>,3,B,,26,1
1,在钻井作业的各种工况中起钻时，井底压力最小。（ ）,<p>A、正确</p><p>B、错误</p><p>C、-</p><p>D、-</p>,3,A,,26,1
1,钻井液的粘度越小，下钻时压力激动越小。（ ） ,<p>A、正确</p><p>B、错误</p><p>C、-</p><p>D、-</p>,3,A,,26,1
1,在空井状况下，当出现钻井液的外溢时，可以判断发生了溢流。（ ） ,<p>A、错</p><p>B、对</p><p>C、-</p><p>D、-</p>,3,B,,26,1
1,软、硬关井的区别在于是否建立井口与节流管汇钻井液的流通通道，而后关防喷器。  （ ） ,<p>A、错</p><p>B、对</p><p>C、-</p><p>D、-</p>,3,B,,26,1
1,起钻时按要求灌浆的主要原因是（）。,<p>A、防止液柱压力小于地层压力</p><p>B、提高浮力减轻悬重</p><p>C、防止井漏</p><p>D、-</p>,3,A,,26,1
